Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Linear Complementary Dual Codes Over 
            
              
            
            $$\mathbb {Z}_2\mathbb {Z}_4$$
            
              
                
                  Z
                  2
                
                
                  Z
                  4","Security and Privacy","","","","10.1007/978-981-33-6781-4_10","Sanjit BhowmickSatya BagchiRamakrishna Bandi","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_10","Chapter"
"Terahertz Communication: Merits, Demerits, and Future Challenges Regarding 6G Wireless Networks","Security and Privacy","","","","10.1007/978-981-33-6781-4_14","NiraAasheesh Shukla","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_14","Chapter"
"Efficient Random Grid Visual Cryptographic Schemes having Essential Members","Security and Privacy","","","","10.1007/978-981-33-6781-4_4","Bibhas Chandra DasMd Kutubuddin SardarAvishek Adhikari","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_4","Chapter"
"Generalization of Lattice-Based Cryptography on Hypercomplex Algebras","Security and Privacy","","","","10.1007/978-981-33-6781-4_6","Sonika SinghSahadeo PadhyeAnkal Pal","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_6","Chapter"
"Image Security Using Hyperchaos and Multidimensional Playfair Cipher","Security and Privacy","","","","10.1007/978-981-33-6781-4_8","Krishnaraj BhatDindayal MahtoDilip Kumar YadavChandrashekhar Azad","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_8","Chapter"
"Declarative foundations of secure deductive databases","Database Theory — ICDT '92","","","","10.1007/3-540-56039-4_55","Piero BonattiSarit KrausV. S. Subrahmanian","1992","http://link.springer.com/chapter/10.1007/3-540-56039-4_55","Chapter"
"Hypervisor Memory Introspection and Hypervisor Based Malware Honeypot","Information Systems Security and Privacy","","","","10.1007/978-3-030-49443-8_15","Nezer Jacob ZaidenbergMichael KiperbergRaz Ben YehudaRoee LeonAsaf AlgawiAmit Resh","2020","http://link.springer.com/chapter/10.1007/978-3-030-49443-8_15","Chapter"
"Low c-Differential Uniformity for the Gold Function Modified on a Subfield","Security and Privacy","","","","10.1007/978-981-33-6781-4_11","Pantelimon Stănică","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_11","Chapter"
"Efficient Circuit-Based PSI with Linear Communication","Advances in Cryptology – EUROCRYPT 2019","","","","10.1007/978-3-030-17659-4_5","Benny PinkasThomas SchneiderOleksandr TkachenkoAvishay Yanai","2019","http://link.springer.com/chapter/10.1007/978-3-030-17659-4_5","Chapter"
"A Score-Level Fusion Method for Protecting Fingerprint and Palmprint Templates","Security and Privacy","","","","10.1007/978-981-33-6781-4_1","Mulagala SandhyaY. Sreenivasa RaoSahoo BiswajeetVallabhadas Dilip KumarMaurya Anup Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_1","Chapter"
"Energy efficient emergency rescue scheme in wireless sensor networks","International Journal of Information Technology","","","","10.1007/s41870-020-00584-9","Vinay RishiwalOmkar Singh","2021","http://link.springer.com/article/10.1007/s41870-020-00584-9","Article"
"Semiotic Brains and Artificial Minds","Abductive Cognition","","","","10.1007/978-3-642-03631-6_3","Lorenzo Magnani","2009","http://link.springer.com/chapter/10.1007/978-3-642-03631-6_3","Chapter"
"I-MINDS: An Agent-Oriented Information System for Applications in Education","Agent-Oriented Information Systems","","","","10.1007/978-3-540-25943-5_2","Leen-Kiat SohXuLi LiuXueSong ZhangJameela Al-JaroodiHong JiangPhanivas Vemuri","2004","http://link.springer.com/chapter/10.1007/978-3-540-25943-5_2","Chapter"
"Data Mining in Customer Value and Customer Relationship Management","Introduction to Data Mining and its Applications","","","","10.1007/978-3-540-34351-6_16","","2006","http://link.springer.com/chapter/10.1007/978-3-540-34351-6_16","Chapter"
"WATCHiT: A Modular and Wearable Tool for Data Collection in Crisis Management and Training","Ambient Intelligence","","","","10.1007/978-3-319-14112-1_22","Simone MoraMonica Divitini","2014","http://link.springer.com/chapter/10.1007/978-3-319-14112-1_22","Chapter"
"Fast Smallest Lowest Common Ancestor Computation Based on Stable Match","Journal of Computer Science and Technology","","28","2","10.1007/s11390-013-1337-1","Jun-Feng ZhouGuo-Xiang LanZi-Yang ChenXian Tang","2013","http://link.springer.com/article/10.1007/s11390-013-1337-1","Article"
"Visual Interaction Including Biometrics Information for a Socially Assistive Robotic Platform","Computer Vision - ECCV 2014 Workshops","","","","10.1007/978-3-319-16199-0_28","Pierluigi CarcagnìDario CazzatoMarco Del CocoCosimo DistanteMarco Leo","2015","http://link.springer.com/chapter/10.1007/978-3-319-16199-0_28","Chapter"
"Automating Credibility Assessment of Arabic News","Social Informatics","","","","10.1007/978-3-319-03260-3_13","Mohamed HammadElsayed Hemayed","2013","http://link.springer.com/chapter/10.1007/978-3-319-03260-3_13","Chapter"
"6. External Constraint Problem Solving","Autonomous Dynamic Reconfiguration in Multi-Agent Systems","","","","10.1007/3-540-45834-4_6","","2002","http://link.springer.com/chapter/10.1007/3-540-45834-4_6","Chapter"
"GruSMA1: Experience on the Deployment of Agent-Based Health Care Services","Applications of Software Agent Technology in the Health Care Domain","","","","10.1007/978-3-0348-7976-7_5","Antonio MorenoAïda VallsDavid IsernDavid Sánchez","2003","http://link.springer.com/chapter/10.1007/978-3-0348-7976-7_5","Chapter"
"Distributed Formal Concept Analysis Algorithms Based on an Iterative MapReduce Framework","Formal Concept Analysis","","","","10.1007/978-3-642-29892-9_26","Biao XuRuairí de FréinEric RobsonMícheál Ó Foghlú","2012","http://link.springer.com/chapter/10.1007/978-3-642-29892-9_26","Chapter"
"A User-Oriented GIS Search Service Using Ontology in Location-Based Services","Advances in Hybrid Information Technology","","","","10.1007/978-3-540-77368-9_21","Hyunsuk HwangSeonghyun ShinChangsoo Kim","2007","http://link.springer.com/chapter/10.1007/978-3-540-77368-9_21","Chapter"
"A Signature Scheme for Distributed Executions Based on Control Flow Analysis","Security and Intelligent Information Systems","","","","10.1007/978-3-642-25261-7_7","Sébastien VarretteBenoît BertholonPascal Bouvry","2012","http://link.springer.com/chapter/10.1007/978-3-642-25261-7_7","Chapter"
"A mechanized logic for secure key escrow protocol verification","Higher Order Logic Theorem Proving and Its Applications","","","","10.1007/3-540-60275-5_73","Tom SchubertSarah Mocas","1995","http://link.springer.com/chapter/10.1007/3-540-60275-5_73","Chapter"
"A Survey of Artificial Intelligence Techniques on MOOC of Legal Education","Technology-Inspired Smart Learning for Future Education","","","","10.1007/978-981-15-5390-5_3","Yang WengXuejiao LiangHanyan DuanSongyuan GuNing WangZhu Wang","2020","http://link.springer.com/chapter/10.1007/978-981-15-5390-5_3","Chapter"
"Autoencoder-based image processing framework for object appearance modifications","Neural Computing and Applications","","33","4","10.1007/s00521-020-04976-7","Krzysztof ŚlotPaweł KapustaJacek Kucharski","2021","http://link.springer.com/article/10.1007/s00521-020-04976-7","Article"
"Deployment and Monitoring","Implementing AI Systems","","","","10.1007/978-1-4842-6385-3_7","Tom Taulli","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6385-3_7","Chapter"
"A Semi-supervised Framework with Efficient Feature Extraction and Network Alignment for User Identity Linkage","Database Systems for Advanced Applications","","","","10.1007/978-3-030-73197-7_46","Zehua HuJiahai WangSiyuan ChenXin Du","2021","http://link.springer.com/chapter/10.1007/978-3-030-73197-7_46","Chapter"
"Controlled Query Evaluation for Known Policies by Combining Lying and Refusal","Annals of Mathematics and Artificial Intelligence","","40","1 - 2","10.1023/A:1026106029043","Joachim BiskupPiero A. Bonatti","2004","http://link.springer.com/article/10.1023/A%3A1026106029043","Article"
"A Study of Detecting Computer Viruses in Real-Infected Files in the n-Gram Representation with Machine Learning Methods","Trends in Applied Intelligent Systems","","","","10.1007/978-3-642-13022-9_51","Thomas Stibor","2010","http://link.springer.com/chapter/10.1007/978-3-642-13022-9_51","Chapter"
"A Characterization of Key Properties of Environment-Mediated Multiagent Systems","Engineering Environment-Mediated Multi-Agent Systems","","","","10.1007/978-3-540-85029-8_3","Hartmut SchmeckChristian Müller-Schloer","2008","http://link.springer.com/chapter/10.1007/978-3-540-85029-8_3","Chapter"
"A New Service Mining Method Based on Semantic Process","Advances in Information Technology and Education","","","","10.1007/978-3-642-22418-8_2","Xin-wei ZhaiDe-gan Zhang","2011","http://link.springer.com/chapter/10.1007/978-3-642-22418-8_2","Chapter"
"Target Identity Attacks on Facial Recognition Systems","Advances in Digital Forensics XVI","","","","10.1007/978-3-030-56223-6_13","Saheb ChhabraNaman BanatiGaurav GuptaGarima Gupta","2020","http://link.springer.com/chapter/10.1007/978-3-030-56223-6_13","Chapter"
"A Bibliometric Analysis on the Application of Deep Learning in Cybersecurity","Security of Cyber-Physical Systems","","","","10.1007/978-3-030-45541-5_11","Sanaz NakhodchiAli Dehghantanha","2020","http://link.springer.com/chapter/10.1007/978-3-030-45541-5_11","Chapter"
"Aiming AI at a moving target: health (or disease)","AI & SOCIETY","","35","4","10.1007/s00146-020-00943-x","Mihai Nadin","2020","http://link.springer.com/article/10.1007/s00146-020-00943-x","Article"
"Ringer: Systematic Mining of Malicious Domains by Dynamic Graph Convolutional Network","Computational Science – ICCS 2020","","","","10.1007/978-3-030-50420-5_28","Zhicheng LiuShuhao LiYongzheng ZhangXiaochun YunChengwei Peng","2020","http://link.springer.com/chapter/10.1007/978-3-030-50420-5_28","Chapter"
"Understanding deep face anti-spoofing: from the perspective of data","The Visual Computer","","","","10.1007/s00371-020-01849-x","Yujing SunHao XiongSiu Ming Yiu","2020","http://link.springer.com/article/10.1007/s00371-020-01849-x","Article"
"A heuristic technique for multi‐agent planning","Annals of Mathematics and Artificial Intelligence","","20","1 - 4","10.1023/A:1018924209812","Eithan EphratiJeffrey S. Rosenschein","1997","http://link.springer.com/article/10.1023/A%3A1018924209812","Article"
"A Cross-Platform Benchmark Framework for Mobile Semantic Web Reasoning Engines","The Semantic Web – ISWC 2014","","","","10.1007/978-3-319-11964-9_25","William Van WoenselNewres Al HaiderAhmad AhmadSyed S. R. Abidi","2014","http://link.springer.com/chapter/10.1007/978-3-319-11964-9_25","Chapter"
"A Self-organizing Sensing System for Structural Health Monitoring of Aerospace Vehicles","Advances in Applied Self-organizing Systems","","","","10.1007/978-1-84628-982-8_4","N. HoschkeC. J. LewisD. C. PriceD. A. ScottV. GerasimovP. Wang","2008","http://link.springer.com/chapter/10.1007/978-1-84628-982-8_4","Chapter"
"A 3D Human Posture Approach for Activity Recognition Based on Depth Camera","Computer Vision – ECCV 2016 Workshops","","","","10.1007/978-3-319-48881-3_30","Alessandro ManziFilippo CavalloPaolo Dario","2016","http://link.springer.com/chapter/10.1007/978-3-319-48881-3_30","Chapter"
"Geographic Visualization","Human-Centered Visualization Environments","","","","10.1007/978-3-540-71949-6_6","Martin Nöllenburg","2007","http://link.springer.com/chapter/10.1007/978-3-540-71949-6_6","Chapter"
"Visual Social Relationship Recognition","International Journal of Computer Vision","","128","6","10.1007/s11263-020-01295-1","Junnan LiYongkang WongQi ZhaoMohan S. Kankanhalli","2020","http://link.springer.com/article/10.1007/s11263-020-01295-1","Article"
"Secure Agents","Annals of Mathematics and Artificial Intelligence","","37","1 - 2","10.1023/A:1020233522878","Piero A. BonattiSarit KrausV.S. Subrahmanian","2003","http://link.springer.com/article/10.1023/A%3A1020233522878","Article"
"Processing Systems for Deep Learning Inference on Edge Devices","Convergence of Artificial Intelligence and the Internet of Things","","","","10.1007/978-3-030-44907-0_9","Mário Véstias","2020","http://link.springer.com/chapter/10.1007/978-3-030-44907-0_9","Chapter"
"Enhancing Security of FPGA-Based Embedded Systems with Combinational Logic Binding","Journal of Computer Science and Technology","","32","2","10.1007/s11390-017-1700-8","Ji-Liang ZhangWei-Zheng WangXing-Wei WangZhi-Hua Xia","2017","http://link.springer.com/article/10.1007/s11390-017-1700-8","Article"
"Video Anomaly Detection for Smart Surveillance","Computer Vision","","","","10.1007/978-3-030-03243-2_845-1","Sijie ZhuChen ChenWaqas Sultani","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-030-03243-2_845-1","ReferenceWorkEntry"
"A distributable event-oriented architecture for activity recognition in smart homes","Journal of Reliable Intelligent Environments","","","","10.1007/s40860-020-00125-y","Cédric DemongivertKévin BouchardSébastien GabouryBruno BouchardMaxime LussierMaxime ParenteauCatherine LalibertéMélanie CoutureNathalie BierSylvain Giroux","2021","http://link.springer.com/article/10.1007/s40860-020-00125-y","Article"
"State of the Art of Non-vision-Based Localization Technologies for AR in Facility Management","Augmented Reality, Virtual Reality, and Computer Graphics","","","","10.1007/978-3-030-58465-8_20","Dietmar SiegeleUmberto Di StasoMarco PiovanoCarmen MarcherDominik T. Matt","2020","http://link.springer.com/chapter/10.1007/978-3-030-58465-8_20","Chapter"
"Evading Deep Neural Network and Random Forest Classifiers by Generating Adversarial Samples","Foundations and Practice of Security","","","","10.1007/978-3-030-18419-3_10","Erick Eduardo Bernal MartinezBella OhFeng LiXiao Luo","2019","http://link.springer.com/chapter/10.1007/978-3-030-18419-3_10","Chapter"
"Interpretability of Fuzzy Systems","Fuzzy Logic and Applications","","","","10.1007/978-3-319-03200-9_3","Corrado Mencar","2013","http://link.springer.com/chapter/10.1007/978-3-319-03200-9_3","Chapter"
"A New Ridge-Features-Based Method for Fingerprint Image Quality Assessment","Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications","","","","10.1007/978-3-319-25751-8_26","Katy Castillo-RosadoJosé Hernández-Palancar","2015","http://link.springer.com/chapter/10.1007/978-3-319-25751-8_26","Chapter"
"An Identity-Based Threshold Signcryption Scheme with Semantic Security","Computational Intelligence and Security","","","","10.1007/11596981_26","Changgen PengXiang Li","2005","http://link.springer.com/chapter/10.1007/11596981_26","Chapter"
"Design of Public Practical Training Service Platform Based on Cloud Computing for Students Majoring in Software","Recent Progress in Data Engineering and Internet Technology","","","","10.1007/978-3-642-28798-5_70","Jing TangWen-ai Song","2012","http://link.springer.com/chapter/10.1007/978-3-642-28798-5_70","Chapter"
"An Empathy Imitation Game: Empathy Turing Test for Care- and Chat-bots","Minds and Machines","","","","10.1007/s11023-021-09555-w","Jeremy HowickJessica MorleyLuciano Floridi","2021","http://link.springer.com/article/10.1007/s11023-021-09555-w","Article"
"Agent-Based Approach to Conference Information Management","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/978-3-540-30134-9_105","Hee-Seop HanJae-Bong KimSun-Gwan HanHyeoncheol Kim","2004","http://link.springer.com/chapter/10.1007/978-3-540-30134-9_105","Chapter"
"HEDC++: An Extended Histogram Estimator for Data in the Cloud","Journal of Computer Science and Technology","","28","6","10.1007/s11390-013-1392-7","Ying-Jie ShiXiao-Feng MengFusheng WangYan-Tao Gan","2013","http://link.springer.com/article/10.1007/s11390-013-1392-7","Article"
"A New Virus-Antivirus Spreading Model","Advances in Neural Networks – ISNN 2015","","","","10.1007/978-3-319-25393-0_53","Bei LiuChuandong Li","2015","http://link.springer.com/chapter/10.1007/978-3-319-25393-0_53","Chapter"
"A Distributed Multi-secret Sharing Scheme on the (t,n) Threshold","Network Computing and Information Security","","","","10.1007/978-3-642-35211-9_47","Guiqiang ChenHuanwen WangLiqin WangYue Jin","2012","http://link.springer.com/chapter/10.1007/978-3-642-35211-9_47","Chapter"
"Using Memory in the Right Way to Accelerate Big Data Processing","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1502-9","Dong YanXu-Sen YinCheng LianXiang ZhongXin ZhouGan-Sha Wu","2015","http://link.springer.com/article/10.1007/s11390-015-1502-9","Article"
"A comprehensive survey: artificial bee colony (ABC) algorithm and applications","Artificial Intelligence Review","","42","1","10.1007/s10462-012-9328-0","Dervis KarabogaBeyza GorkemliCelal OzturkNurhan Karaboga","2014","http://link.springer.com/article/10.1007/s10462-012-9328-0","Article"
"Person Re-identification: Current Approaches and Future Challenges","Computer Vision","","","","10.1007/978-3-030-03243-2_825-1","Rameswar PandaAmit K. Roy-Chowdhury","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-030-03243-2_825-1","ReferenceWorkEntry"
"JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY","Journal of Computer Science and Technology","","31","6","10.1007/s11390-016-1697-4","","2016","http://link.springer.com/article/10.1007/s11390-016-1697-4","Article"
"A jumping mining attack and solution","Applied Intelligence","","51","3","10.1007/s10489-020-01866-2","Muchuang HuJiahui ChenWensheng GanChien-Ming Chen","2021","http://link.springer.com/article/10.1007/s10489-020-01866-2","Article"
"Further Results on Bent–Negabent Boolean Functions","Security and Privacy","","","","10.1007/978-981-33-6781-4_5","Sihem MesnagerBachir ben MoussatZepeng Zhuo","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_5","Chapter"
"Efficient Maliciously Secure Multiparty Computation for RAM","Advances in Cryptology – EUROCRYPT 2018","","","","10.1007/978-3-319-78372-7_4","Marcel KellerAvishay Yanai","2018","http://link.springer.com/chapter/10.1007/978-3-319-78372-7_4","Chapter"
"Post-Quantum Secure Identity-Based Encryption from Multivariate Public Key Cryptography","Security and Privacy","","","","10.1007/978-981-33-6781-4_12","Nibedita KunduKunal DeyPantelimon StănicăSumit Kumar DebnathSaibal Kumar Pal","2021","http://link.springer.com/chapter/10.1007/978-981-33-6781-4_12","Chapter"
"Research on the Security Protection Scheme for Container-Based Cloud Platform Node Based on BlockChain Technology","Data Science","","","","10.1007/978-981-13-2203-7_3","Xiaolan XieTao HuangZhihong Guo","2018","http://link.springer.com/chapter/10.1007/978-981-13-2203-7_3","Chapter"
"Laplacian Spectrum Learning","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-15939-8_17","Pannagadatta K. ShivaswamyTony Jebara","2010","http://link.springer.com/chapter/10.1007/978-3-642-15939-8_17","Chapter"
"Case Studies in Retail AI","Machine Learning Applications Using Python","","","","10.1007/978-1-4842-3787-8_10","Puneet Mathur","2019","http://link.springer.com/chapter/10.1007/978-1-4842-3787-8_10","Chapter"
"A Kinect-Based Gesture Acquisition and Reproduction System for Humanoid Robots","Computational Science and Its Applications – ICCSA 2020","","","","10.1007/978-3-030-58799-4_69","Agnese AugelloAngelo CiullaAlfredo CuzzocreaSalvatore GaglioGiovanni PilatoFilippo Vella","2020","http://link.springer.com/chapter/10.1007/978-3-030-58799-4_69","Chapter"
"The Role of Deep Learning in Improving Healthcare","Data Science for Healthcare","","","","10.1007/978-3-030-05249-2_3","Stefan ThalerVlado Menkovski","2019","http://link.springer.com/chapter/10.1007/978-3-030-05249-2_3","Chapter"
"Unsupervised Anomaly Detection of Healthcare Providers Using Generative Adversarial Networks","Responsible Design, Implementation and Use of Information and Communication Technology","","","","10.1007/978-3-030-44999-5_35","Krishnan NaidooVukosi Marivate","2020","http://link.springer.com/chapter/10.1007/978-3-030-44999-5_35","Chapter"
"Deep Learning Development Status in China","The Development of Deep Learning Technologies","","","","10.1007/978-981-15-4584-9_2","","2020","http://link.springer.com/chapter/10.1007/978-981-15-4584-9_2","Chapter"
"Analyzing the Footprint of Classifiers in Adversarial Denial of Service Contexts","Progress in Artificial Intelligence","","","","10.1007/978-3-030-30244-3_22","Nuno MartinsJosé Magalhães CruzTiago CruzPedro Henriques Abreu","2019","http://link.springer.com/chapter/10.1007/978-3-030-30244-3_22","Chapter"
"Synthesizing New Retinal Symptom Images by Multiple Generative Models","Computer Vision – ACCV 2018 Workshops","","","","10.1007/978-3-030-21074-8_19","Yi-Chieh LiuHao-Hsiang YangC.-H. Huck YangJia-Hong HuangMeng TianHiromasa MorikawaYi-Chang James TsaiJesper Tegnèr","2019","http://link.springer.com/chapter/10.1007/978-3-030-21074-8_19","Chapter"
"Generating Human Action Videos by Coupling 3D Game Engines and Probabilistic Graphical Models","International Journal of Computer Vision","","128","5","10.1007/s11263-019-01222-z","César Roberto de SouzaAdrien GaidonYohann CabonNaila MurrayAntonio Manuel López","2020","http://link.springer.com/article/10.1007/s11263-019-01222-z","Article"
"Ask, Acquire, and Attack: Data-Free UAP Generation Using Class Impressions","Computer Vision – ECCV 2018","","","","10.1007/978-3-030-01240-3_2","Konda Reddy MopuriPhani Krishna UppalaR. Venkatesh Babu","2018","http://link.springer.com/chapter/10.1007/978-3-030-01240-3_2","Chapter"
"OpenAdap.net: Evolvable Information Processing Environment","Applications of Fuzzy Sets Theory","","","","10.1007/978-3-540-73400-0_28","Alessandro E. P. VillaJavier Iglesias","2007","http://link.springer.com/chapter/10.1007/978-3-540-73400-0_28","Chapter"
"A divide-and-unite deep network for person re-identification","Applied Intelligence","","51","3","10.1007/s10489-020-01880-4","Rui LiBaopeng ZhangZhu TengJianping Fan","2021","http://link.springer.com/article/10.1007/s10489-020-01880-4","Article"
"Maximal Association Rules: A Tool for Mining Associations in Text","Journal of Intelligent Information Systems","","25","3","10.1007/s10844-005-0196-9","Amihood AmirYonatan AumannRonen FeldmanMoshe Fresko","2005","http://link.springer.com/article/10.1007/s10844-005-0196-9","Article"
"Fast Distributed RSA Key Generation for Semi-honest and Malicious Adversaries","Advances in Cryptology – CRYPTO 2018","","","","10.1007/978-3-319-96881-0_12","Tore Kasper FrederiksenYehuda LindellValery OsheterBenny Pinkas","2018","http://link.springer.com/chapter/10.1007/978-3-319-96881-0_12","Chapter"
"Mining Correlation Relationship of Users from Trajectory Data","Data Science","","","","10.1007/978-981-13-2203-7_23","Zi YangBo Ning","2018","http://link.springer.com/chapter/10.1007/978-981-13-2203-7_23","Chapter"
"SpOT-Light: Lightweight Private Set Intersection from Sparse OT Extension","Advances in Cryptology – CRYPTO 2019","","","","10.1007/978-3-030-26954-8_13","Benny PinkasMike RosulekNi TrieuAvishay Yanai","2019","http://link.springer.com/chapter/10.1007/978-3-030-26954-8_13","Chapter"
"Towards User-in-the-Loop Online Fashion Size Recommendation with Low Cognitive Load","Recommender Systems in Fashion and Retail","","","","10.1007/978-3-030-66103-8_4","Leonidas LefakisEvgenii KoriaginJulia LasserreReza Shirvany","2021","http://link.springer.com/chapter/10.1007/978-3-030-66103-8_4","Chapter"
"Virtual City Simulator for Education, Training, and Guidance","Monitoring, Security, and Rescue Techniques in Multiagent Systems","","","","10.1007/3-540-32370-8_33","Hideyuki Nakanishi","2005","http://link.springer.com/chapter/10.1007/3-540-32370-8_33","Chapter"
"Capturing User Interests by Both Exploitation and Exploration","User Modeling 2007","","","","10.1007/978-3-540-73078-1_40","Ka Cheung SiaShenghuo ZhuYun ChiKoji HinoBelle L. Tseng","2007","http://link.springer.com/chapter/10.1007/978-3-540-73078-1_40","Chapter"
"From Learner Information Packages to Student Models: Which Continuum?","Intelligent Tutoring Systems","","","","10.1007/11774303_29","Lahcen OubahssiMonique Grandbastien","2006","http://link.springer.com/chapter/10.1007/11774303_29","Chapter"
"A Fuzzy-Based Dynamic Provision Approach for Virtualized Network Intrusion Detection Systems","Advances in Computer Science and Information Technology","","","","10.1007/978-3-642-13577-4_10","Bo LiJianxin LiTianyu WoXudong WuJunaid ArshadWantao Liu","2010","http://link.springer.com/chapter/10.1007/978-3-642-13577-4_10","Chapter"
"Mutual Authentication Protocol Based on Smart Card and Combined Secret Key Encryption","Advances in Swarm and Computational Intelligence","","","","10.1007/978-3-319-20472-7_15","Guifen ZhaoLiping DuYing LiGuanning Xu","2015","http://link.springer.com/chapter/10.1007/978-3-319-20472-7_15","Chapter"
"Determining the Link and Rate Popularity of Enterprise Process Information","On the Move to Meaningful Internet Systems: OTM 2013 Conferences","","","","10.1007/978-3-642-41030-7_8","Bernd MichelbergerBela MutschlerMarkus HippManfred Reichert","2013","http://link.springer.com/chapter/10.1007/978-3-642-41030-7_8","Chapter"
"MobiSoft: Networked Personal Assistants for Mobile Users in Everyday Life","Cooperative Information Agents XII","","","","10.1007/978-3-540-85834-8_13","Christian ErfurthSteffen KernWilhelm RossakPeter BraunAntje Leßmann","2008","http://link.springer.com/chapter/10.1007/978-3-540-85834-8_13","Chapter"
"Context-Aware Personal Route Recognition","Discovery Science","","","","10.1007/978-3-642-24477-3_19","Oleksiy MazhelisIndrė ŽliobaitėMykola Pechenizkiy","2011","http://link.springer.com/chapter/10.1007/978-3-642-24477-3_19","Chapter"
"Computing with Idiotypic Networks","Intelligent Information Processing and Web Mining","","","","10.1007/3-540-32392-9_80","Francisco MartinsNeva Slani","2005","http://link.springer.com/chapter/10.1007/3-540-32392-9_80","Chapter"
"Relationships between Blogging Activeness and the Characteristics of Participants and Blogs during Teaching Practice and Induction Year","Advances in Web-Based Learning – ICWL 2014","","","","10.1007/978-3-319-09635-3_2","Piret LuikMerle Taimalu","2014","http://link.springer.com/chapter/10.1007/978-3-319-09635-3_2","Chapter"
"SpeakUp – A Mobile App Facilitating Audience Interaction","Advances in Web-Based Learning – ICWL 2013","","","","10.1007/978-3-642-41175-5_2","Adrian HolzerSten GovaertsJan OndrusAndrii VozniukDavid RigaudBenoît GarbinatoDenis Gillet","2013","http://link.springer.com/chapter/10.1007/978-3-642-41175-5_2","Chapter"
"Human Factors Consideration for the Design of Collaborative Machine Assistants","Handbook of Ambient Intelligence and Smart Environments","","","","10.1007/978-0-387-93808-0_36","Sung ParkArthur D. FiskWendy A. Rogers","2010","http://link.springer.com/chapter/10.1007/978-0-387-93808-0_36","Chapter"
"The AI Landscape","Implementing AI Systems","","","","10.1007/978-1-4842-6385-3_1","Tom Taulli","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6385-3_1","Chapter"
"Towards an Internetworked Enterprise: some issues to be discussed","Evolving Towards the Internetworked Enterprise","","","","10.1007/978-1-4419-7279-8_1","Giuseppina Passiante","2010","http://link.springer.com/chapter/10.1007/978-1-4419-7279-8_1","Chapter"
"A Novel Model of Artificial Immune System for Solving Constrained Optimization Problems with Dynamic Tolerance Factor","MICAI 2007: Advances in Artificial Intelligence","","","","10.1007/978-3-540-76631-5_3","Victoria S. AragónSusana C. EsquivelCarlos A. Coello Coello","2007","http://link.springer.com/chapter/10.1007/978-3-540-76631-5_3","Chapter"
"Applications of Outlier Analysis","Outlier Analysis","","","","10.1007/978-1-4614-6396-2_12","Charu C. Aggarwal","2013","http://link.springer.com/chapter/10.1007/978-1-4614-6396-2_12","Chapter"
"An Ant Colony Optimization Algorithm for an Automatic Categorization of Emails","Computational Collective Intelligence. Technologies and Applications","","","","10.1007/978-3-319-11289-3_59","Urszula BoryczkaBarbara ProbierzJan Kozak","2014","http://link.springer.com/chapter/10.1007/978-3-319-11289-3_59","Chapter"
"Structured Data Extraction: Wrapper Generation","Web Data Mining","","","","10.1007/978-3-540-37882-2_9","","2007","http://link.springer.com/chapter/10.1007/978-3-540-37882-2_9","Chapter"
"Frontal-Standing Pose Based Person Identification Using Kinect","Human-Computer Interaction. Advanced Interaction Modalities and Techniques","","","","10.1007/978-3-319-07230-2_21","Kingshuk ChakravartyTanushyam Chattopadhyay","2014","http://link.springer.com/chapter/10.1007/978-3-319-07230-2_21","Chapter"
"Contextual Factors in Database Integration — A Delphi Study","Conceptual Modeling – ER 2010","","","","10.1007/978-3-642-16373-9_20","Joerg Evermann","2010","http://link.springer.com/chapter/10.1007/978-3-642-16373-9_20","Chapter"
"Home Is Where Your Phone Is: Usability Evaluation of Mobile Phone UI for a Smart Home","Mobile Human-Computer Interaction - MobileHCI 2004","","","","10.1007/978-3-540-28637-0_7","Tiiu KoskelaKaisa Väänänen-Vainio-MattilaLauri Lehti","2004","http://link.springer.com/chapter/10.1007/978-3-540-28637-0_7","Chapter"
"Group Preferences for Query Answering in Datalog+/- Ontologies","Scalable Uncertainty Management","","","","10.1007/978-3-642-40381-1_28","Thomas LukasiewiczMaria Vanina MartinezGerardo I. SimariOana Tifrea-Marciuska","2013","http://link.springer.com/chapter/10.1007/978-3-642-40381-1_28","Chapter"
